Datetime,PM2.5,PM10,CO,NO2,SO2,O3,City,Year,Month,Day,AQI,AQI_Category
2025-02-17,41.30416666666667,44.00416666666666,418.375,6.45,10.604166666666666,103.41666666666667,Kolkata,2025,2,17,132.49168728445045,Moderate
2025-02-18,48.90416666666667,54.75833333333333,599.4166666666666,11.829166666666666,16.825,89.625,Kolkata,2025,2,18,146.70390988154148,Moderate
2025-02-19,49.637499999999996,53.775,747.0416666666666,12.408333333333333,15.725,87.58333333333333,Kolkata,2025,2,19,156.1656357774779,Moderate
2025-02-20,74.17083333333333,79.7375,599.1666666666666,18.779166666666665,23.166666666666668,95.125,Kolkata,2025,2,20,196.9290185934923,Moderate
2025-02-21,65.22083333333333,70.51666666666667,803.8333333333334,16.729166666666668,21.016666666666666,89.0,Kolkata,2025,2,21,190.25826585695006,Moderate
2025-02-22,50.00416666666666,54.31666666666666,672.2916666666666,14.608333333333334,13.804166666666667,73.66666666666667,Kolkata,2025,2,22,144.0406076623182,Moderate
2025-02-23,86.30833333333334,90.99583333333334,882.2916666666666,25.02916666666667,24.375,84.75,Kolkata,2025,2,23,222.9298245614035,Poor
2025-02-24,102.45,113.3,1152.875,23.65833333333333,25.52916666666667,116.08333333333333,Kolkata,2025,2,24,249.50828753610935,Poor
2025-02-25,107.95,121.72916666666667,1008.6666666666666,21.075,27.425,115.375,Kolkata,2025,2,25,255.3119407454379,Poor
2025-02-26,116.35000000000001,127.29166666666667,906.25,17.787499999999998,30.775000000000002,140.58333333333334,Kolkata,2025,2,26,264.1550588318185,Poor
2025-02-27,124.75416666666666,135.65833333333333,817.7916666666666,20.279166666666665,30.020833333333332,116.79166666666667,Kolkata,2025,2,27,272.86765482984566,Poor
2025-02-28,81.27916666666667,98.72500000000001,638.9583333333334,17.279166666666665,27.212500000000002,113.5,Kolkata,2025,2,28,225.3168859649123,Poor
2025-03-01,47.449999999999996,54.15416666666667,492.25,7.304166666666667,14.879166666666668,105.16666666666667,Kolkata,2025,3,1,154.36890838206628,Moderate
2025-03-02,63.11666666666667,72.41250000000001,582.4583333333334,10.766666666666666,27.620833333333334,129.66666666666666,Kolkata,2025,3,2,183.22079772079772,Moderate
2025-03-03,68.97916666666667,82.87083333333334,553.5,20.154166666666665,22.179166666666664,110.91666666666667,Kolkata,2025,3,3,204.21544646873596,Poor
2025-03-04,49.32083333333333,63.94166666666666,596.125,16.491666666666667,20.7,103.70833333333333,Kolkata,2025,3,4,159.96789248762934,Moderate
2025-03-05,57.19583333333333,97.05,631.7083333333334,15.483333333333333,25.870833333333334,120.45833333333333,Kolkata,2025,3,5,178.452850877193,Moderate
2025-03-06,63.03333333333333,138.26666666666668,558.7083333333334,17.508333333333333,21.9375,118.45833333333333,Kolkata,2025,3,6,198.577850877193,Moderate
2025-03-07,78.64166666666667,160.47083333333333,699.1666666666666,20.787499999999998,30.7625,126.16666666666667,Kolkata,2025,3,7,221.76754385964912,Poor
2025-03-08,51.6625,63.09166666666667,492.375,8.458333333333334,17.091666666666665,130.66666666666666,Kolkata,2025,3,8,172.34868421052633,Moderate
2025-03-09,58.44583333333333,68.41250000000001,509.7083333333333,8.487499999999999,15.020833333333334,116.125,Kolkata,2025,3,9,196.16666666666666,Moderate
2025-03-10,69.43333333333334,77.58749999999999,532.2083333333334,11.991666666666667,16.258333333333333,123.5,Kolkata,2025,3,10,211.41666666666666,Poor
2025-03-11,44.512499999999996,47.725,454.0,7.2625,14.091666666666667,111.79166666666667,Kolkata,2025,3,11,145.5625,Moderate
2025-03-12,37.25416666666667,41.43333333333333,469.625,7.779166666666666,16.5125,114.375,Kolkata,2025,3,12,117.66969373219375,Moderate
2025-03-13,31.650000000000002,35.125,407.8333333333333,6.55,13.875,115.29166666666667,Kolkata,2025,3,13,94.99358974358974,Satisfactory
2025-03-14,37.512499999999996,41.12916666666667,425.1666666666667,7.6625000000000005,16.254166666666666,120.20833333333333,Kolkata,2025,3,14,115.22635515069726,Moderate
2025-03-15,45.49166666666667,48.62916666666666,499.9583333333333,8.770833333333334,16.224999999999998,127.875,Kolkata,2025,3,15,141.81461800869695,Moderate
2025-03-16,27.3,29.924999999999997,417.1666666666667,7.875,12.054166666666667,92.95833333333333,Kolkata,2025,3,16,84.95904558404558,Satisfactory
2025-03-17,28.224999999999998,31.47083333333333,556.5833333333334,9.799999999999999,15.041666666666666,89.95833333333333,Kolkata,2025,3,17,91.21848290598291,Satisfactory
2025-03-18,43.550000000000004,57.05833333333334,467.125,14.700000000000001,19.866666666666667,120.83333333333333,Kolkata,2025,3,18,137.23840718248616,Moderate
2025-03-19,59.75416666666666,66.12083333333334,542.1666666666666,9.708333333333334,21.287499999999998,142.16666666666666,Kolkata,2025,3,19,188.3535106462738,Moderate
2025-03-20,45.55416666666667,50.30833333333334,403.25,14.987499999999999,18.583333333333332,85.29166666666667,Kolkata,2025,3,20,121.9064608636977,Moderate
2025-03-21,67.18333333333334,70.71249999999999,531.125,14.333333333333334,23.47083333333333,117.54166666666667,Kolkata,2025,3,21,191.48245614035088,Moderate
2025-03-22,59.75416666666666,61.34166666666667,514.1666666666666,22.454166666666666,20.0625,84.20833333333333,Kolkata,2025,3,22,175.94846491228068,Moderate
2025-03-23,82.88333333333334,86.80833333333334,632.3333333333334,31.320833333333336,28.71666666666667,113.5,Kolkata,2025,3,23,213.88048245614036,Poor
2025-03-24,91.72083333333335,107.32916666666667,755.5416666666666,24.954166666666666,28.545833333333334,142.41666666666666,Kolkata,2025,3,24,236.7272378989643,Poor
2025-03-25,79.75,90.6375,747.75,20.991666666666667,27.858333333333334,126.45833333333333,Kolkata,2025,3,25,221.9309210526316,Poor
2025-03-26,40.1,43.19583333333333,440.375,9.479166666666666,15.012500000000001,106.79166666666667,Kolkata,2025,3,26,118.51775940920679,Moderate
2025-03-27,42.78333333333333,55.050000000000004,486.125,11.899999999999999,16.370833333333334,114.0,Kolkata,2025,3,27,133.4270786474734,Moderate
2025-03-28,47.11666666666667,60.78333333333333,500.375,8.5,18.145833333333332,137.625,Kolkata,2025,3,28,159.32648260608786,Moderate
2025-03-29,54.775,89.68333333333334,552.4583333333334,13.716666666666667,21.020833333333332,134.875,Kolkata,2025,3,29,173.41491415504575,Moderate
2025-03-30,35.0375,40.416666666666664,398.6666666666667,7.5249999999999995,9.633333333333333,93.25,Kolkata,2025,3,30,104.6894586894587,Moderate
2025-03-31,35.27916666666667,42.19166666666667,349.2916666666667,5.670833333333333,8.079166666666667,96.58333333333333,Kolkata,2025,3,31,111.00391737891738,Moderate
2025-04-01,34.75,41.84583333333333,321.0,4.720833333333333,6.716666666666666,88.04166666666667,Kolkata,2025,4,1,103.34740028490029,Moderate
2025-04-02,24.716666666666665,28.8125,314.0416666666667,5.845833333333334,8.645833333333334,86.16666666666667,Kolkata,2025,4,2,77.17236467236468,Satisfactory
2025-04-03,28.02916666666667,32.93333333333333,377.0833333333333,8.445833333333333,11.6625,88.95833333333333,Kolkata,2025,4,3,85.90865384615385,Satisfactory
2025-04-04,52.987500000000004,60.51666666666667,566.3333333333334,13.35,24.25,117.33333333333333,Kolkata,2025,4,4,160.27807767281453,Moderate
2025-04-05,40.708333333333336,44.5375,444.9583333333333,9.354166666666666,16.941666666666666,116.95833333333333,Kolkata,2025,4,5,134.2480413105413,Moderate
2025-04-06,31.037499999999998,34.875,315.9583333333333,5.704166666666667,8.908333333333333,100.20833333333333,Kolkata,2025,4,6,91.38230056980058,Satisfactory
2025-04-07,25.670833333333334,31.045833333333334,309.5,6.458333333333333,6.6000000000000005,67.91666666666667,Kolkata,2025,4,7,79.21118233618235,Satisfactory
2025-04-08,19.504166666666666,23.983333333333334,329.875,6.108333333333333,6.2875000000000005,67.45833333333333,Kolkata,2025,4,8,65.50169159544159,Satisfactory
2025-04-09,12.887500000000001,15.029166666666667,301.375,6.7250000000000005,6.358333333333333,64.75,Kolkata,2025,4,9,51.35505698005698,Satisfactory
2025-04-10,13.841666666666667,15.775,262.625,5.8625,5.6625000000000005,68.875,Kolkata,2025,4,10,53.80831552706553,Satisfactory
2025-04-11,16.754166666666666,20.520833333333332,343.5,8.804166666666667,8.545833333333333,67.08333333333333,Kolkata,2025,4,11,60.15847578347579,Satisfactory
2025-04-12,18.995833333333334,25.775000000000002,407.875,7.470833333333334,9.116666666666667,72.375,Kolkata,2025,4,12,64.64396367521367,Satisfactory
2025-04-13,38.52916666666667,47.32916666666667,416.5833333333333,15.545833333333334,14.854166666666666,93.0,Kolkata,2025,4,13,122.17829697106013,Moderate
2025-04-14,46.27916666666667,58.54583333333333,448.2083333333333,19.566666666666666,17.0625,91.70833333333333,Kolkata,2025,4,14,144.49456440245913,Moderate
2025-04-15,59.275000000000006,74.575,437.3333333333333,14.975,14.9625,120.75,Kolkata,2025,4,15,189.95934547908234,Moderate
2025-04-16,32.6875,46.40416666666667,370.9583333333333,9.141666666666667,8.691666666666666,75.79166666666667,Kolkata,2025,4,16,95.75498575498575,Satisfactory
2025-04-17,26.712500000000002,36.05416666666667,369.2916666666667,7.058333333333334,6.7,71.625,Kolkata,2025,4,17,81.4369658119658,Satisfactory
2025-04-18,34.637499999999996,43.87083333333334,399.7916666666667,9.387500000000001,8.112499999999999,81.875,Kolkata,2025,4,18,110.5701192082771,Moderate
2025-04-19,33.891666666666666,43.37916666666666,429.2083333333333,8.775,9.5625,97.70833333333333,Kolkata,2025,4,19,103.66079059829059,Moderate
2025-04-20,33.32083333333333,42.949999999999996,366.1666666666667,7.291666666666667,7.6499999999999995,86.08333333333333,Kolkata,2025,4,20,104.82478632478633,Moderate
2025-04-21,39.020833333333336,47.333333333333336,299.7083333333333,4.454166666666667,5.891666666666667,94.58333333333333,Kolkata,2025,4,21,119.95334757834758,Moderate
2025-04-22,38.40416666666667,46.17916666666667,292.8333333333333,4.541666666666667,6.0249999999999995,92.45833333333333,Kolkata,2025,4,22,116.77457264957265,Moderate
2025-04-23,31.55,39.233333333333334,327.0,5.591666666666666,9.179166666666667,104.0,Kolkata,2025,4,23,94.17147435897436,Satisfactory
2025-04-24,22.791666666666668,27.84166666666667,289.6666666666667,5.054166666666666,7.204166666666667,84.875,Kolkata,2025,4,24,73.05911680911682,Satisfactory
2025-04-25,17.858333333333334,21.629166666666666,266.5,5.145833333333333,7.366666666666667,76.45833333333333,Kolkata,2025,4,25,62.077991452991455,Satisfactory
2025-04-26,15.833333333333334,20.17083333333333,258.0416666666667,4.508333333333334,5.479166666666667,65.125,Kolkata,2025,4,26,58.173967236467234,Satisfactory
2025-04-27,35.225,39.574999999999996,303.0416666666667,11.862499999999999,15.591666666666667,91.79166666666667,Kolkata,2025,4,27,118.2286137351927,Moderate
2025-04-28,53.291666666666664,57.39166666666666,425.3333333333333,12.820833333333333,21.270833333333332,140.79166666666666,Kolkata,2025,4,28,168.47627080521818,Moderate
2025-04-29,72.5,77.05416666666666,501.625,14.320833333333333,19.712500000000002,154.29166666666666,Kolkata,2025,4,29,212.76776878092667,Poor
2025-04-30,34.50833333333333,40.854166666666664,459.5833333333333,15.579166666666666,10.941666666666668,83.08333333333333,Kolkata,2025,4,30,109.5357905982906,Moderate
2025-05-01,36.762499999999996,42.67916666666667,436.125,17.8875,11.870833333333332,86.125,Kolkata,2025,5,1,119.01582883490778,Moderate
2025-05-02,46.5,53.71666666666667,748.5,20.775,16.29583333333333,86.91666666666667,Kolkata,2025,5,2,142.15055668016194,Moderate
2025-05-03,28.900000000000002,35.28333333333333,482.125,13.033333333333333,10.591666666666667,69.08333333333333,Kolkata,2025,5,3,89.51121794871796,Satisfactory
2025-05-04,41.391666666666666,49.17916666666667,454.875,12.583333333333334,16.599999999999998,120.875,Kolkata,2025,5,4,133.40616096866097,Moderate
2025-05-05,41.137499999999996,48.84166666666667,491.9583333333333,13.358333333333334,13.545833333333334,116.75,Kolkata,2025,5,5,130.77389788574,Moderate
